class,precision,recall,f1-score,support,f0.5-score,model
clothing~knitwear~cardi-coats,0.45454545454545453,0.47794117647058826,0.4659498207885305,136,0.4590395480225989,bayes
bags~bucket bags~n/d,0.6810631229235881,0.6612903225806451,0.6710310965630114,310,0.6770145310435931,bayes
bags~clutch bags~n/d,0.8243243243243243,0.8026315789473685,0.8133333333333335,1064,0.8198924731182797,bayes
bags~laptop bags & briefcases~n/d,0.9,0.25,0.391304347826087,72,0.5921052631578948,bayes
bags~luggage & holdalls~n/d,0.8607594936708861,0.544,0.6666666666666666,125,0.7709750566893424,bayes
bags~messenger bags~n/d,0.5577889447236181,0.7254901960784313,0.6306818181818182,306,0.5848261327713382,bayes
bags~mini bags~n/d,0.4051724137931034,0.3671875,0.38524590163934425,640,0.39695945945945943,bayes
bags~satchels & cross body bags~n/d,0.683935892657473,0.8041191936897458,0.7391742195367572,2282,0.7050099892423544,bayes
bags~shoulder bags~n/d,0.7098129056891943,0.6236162361623616,0.6639285714285713,2981,0.6907185851229842,bayes
bags~tote bags~n/d,0.8319618882633174,0.8589313659736195,0.8452315476845231,4473,0.8372194377860098,bayes
bags~beach bags~n/d,0.8125,0.3170731707317073,0.45614035087719296,41,0.619047619047619,bayes
clothing~all in one~jumpsuits,0.8452722063037249,0.7525510204081632,0.796221322537112,392,0.8249440715883669,bayes
clothing~beachwear~beach cover-ups,0.07142857142857142,0.022222222222222223,0.03389830508474576,45,0.04950495049504951,bayes
clothing~beachwear~beach dresses,0.375,0.05555555555555555,0.09677419354838708,54,0.1744186046511628,bayes
clothing~beachwear~bikinis,0.8609625668449198,0.9698795180722891,0.9121813031161473,166,0.8807439824945296,bayes
clothing~beachwear~one-pieces,0.9565217391304348,0.5,0.6567164179104478,44,0.8088235294117647,bayes
clothing~beachwear~swim shorts,0.9565217391304348,0.7586206896551724,0.8461538461538461,58,0.9090909090909092,bayes
clothing~coats~capes,0.625,0.13513513513513514,0.22222222222222224,74,0.36231884057971014,bayes
clothing~coats~double breasted & peacoats,0.6595174262734584,0.7089337175792507,0.6833333333333333,347,0.6688417618270799,bayes
clothing~coats~double breasted coats,0.8979591836734694,0.5866666666666667,0.7096774193548387,150,0.8118081180811808,bayes
clothing~coats~faux fur coats,0.4318181818181818,0.3619047619047619,0.3937823834196891,105,0.4157549234135667,bayes
clothing~all in one~playsuits,0.8909090909090909,0.37404580152671757,0.5268817204301075,131,0.698005698005698,bayes
bags~backpacks~n/d,0.8883977900552487,0.9337979094076655,0.9105322763306909,861,0.8971211783084133,bayes
activewear~skiwear~ski jackets,0.75,0.1724137931034483,0.28037383177570097,87,0.4491017964071856,bayes
activewear~skiwear~ski bottoms,0.9130434782608695,0.3620689655172414,0.5185185185185185,58,0.7,bayes
clothing~knitwear~cardigans,0.8449227373068433,0.8984741784037559,0.8708759954493744,1704,0.8551161751563897,bayes
accessories~hair accessories~n/d,0.85,0.37777777777777777,0.523076923076923,45,0.6799999999999999,bayes
accessories~hats~n/d,0.928030303030303,0.8812949640287769,0.9040590405904058,278,0.9182908545727135,bayes
"accessories~phone, computer & gadgets~n/d",0.6,0.07317073170731707,0.13043478260869565,41,0.2459016393442623,bayes
accessories~scarves~n/d,0.9657603222557906,0.9324258629071464,0.9488003957457334,2057,0.958904109589041,bayes
accessories~sunglasses~n/d,1.0,0.9704433497536946,0.985,203,0.9939455095862765,bayes
accessories~ties & bow ties~n/d,0.875,0.4,0.5490196078431373,35,0.7070707070707071,bayes
accessories~wallets & cardholders~n/d,0.875,0.2,0.32558139534883723,35,0.5223880597014926,bayes
accessories~wallets & purses~n/d,0.6,0.06382978723404255,0.11538461538461536,47,0.22388059701492533,bayes
activewear~performance footwear~performance trainers,0.4444444444444444,0.10810810810810811,0.17391304347826086,37,0.273972602739726,bayes
activewear~performance jackets~lightweight jackets,0.3333333333333333,0.08108108108108109,0.13043478260869568,74,0.20547945205479454,bayes
activewear~performance jackets~performance track jackets,0.0,0.0,0.0,37,,bayes
activewear~performance shorts~cycling shorts,0.7291666666666666,0.45454545454545453,0.56,77,0.6505576208178439,bayes
activewear~performance shorts~running shorts,0.1568627450980392,0.12903225806451613,0.1415929203539823,62,0.15037593984962408,bayes
activewear~performance tops~performance sweatshirts & hoodies,0.0,0.0,0.0,50,,bayes
activewear~performance tops~performance t-shirts,0.03225806451612903,0.125,0.05128205128205128,64,0.03787878787878788,bayes
activewear~performance tops~performance t-shirts & vests,0.8,0.21428571428571427,0.3380281690140845,56,0.5172413793103449,bayes
activewear~performance tops~performance tank tops,0.25,0.04,0.06896551724137932,75,0.1219512195121951,bayes
activewear~performance tops~sports bras,0.5046728971962616,0.8244274809160306,0.6260869565217392,131,0.547112462006079,bayes
activewear~performance trousers~performance leggings,0.25092250922509224,0.4171779141104294,0.31336405529953915,163,0.272654370489174,bayes
activewear~performance trousers~sport track pants,0.5,0.02702702702702703,0.05128205128205129,37,0.11111111111111112,bayes
clothing~coats~leather coats,1.0,0.017857142857142856,0.03508771929824561,56,0.08333333333333333,bayes
clothing~coats~oversized coats,0.2413793103448276,0.08974358974358974,0.13084112149532712,234,0.18041237113402064,bayes
bags~belt bags~n/d,0.8372093023255814,0.7902439024390244,0.8130489335006275,410,0.8273748723186926,bayes
clothing~coats~parka coats,0.585,0.5416666666666666,0.5625,216,0.5757874015748031,bayes
clothing~jackets~blazers,0.8695652173913043,0.9205277692543725,0.8943210612609928,3259,0.8793012486077729,bayes
clothing~jackets~bomber jackets,0.5963718820861678,0.7205479452054795,0.652605459057072,1095,0.6176608736496008,bayes
clothing~jackets~capes & ponchos,0.5294117647058824,0.11688311688311688,0.19148936170212763,77,0.31034482758620685,bayes
clothing~jackets~cropped jackets,0.5,0.35251798561151076,0.4135021097046413,278,0.46139359698681726,bayes
clothing~jackets~denim jackets,0.6505312868949232,0.875993640699523,0.7466124661246613,629,0.6858352003983073,bayes
clothing~jackets~faux fur & shearling jackets,0.5555555555555556,0.16853932584269662,0.25862068965517243,89,0.38071065989847713,bayes
clothing~jackets~fitted jackets,0.2946859903381642,0.16576086956521738,0.2121739130434782,368,0.25501672240802675,bayes
clothing~jackets~leather jackets,0.5102040816326531,0.7239382239382239,0.5985634477254589,518,0.5422209369577791,bayes
clothing~jackets~lightweight jackets,0.3780487804878049,0.2609427609427609,0.3087649402390438,594,0.34691136974037595,bayes
clothing~jackets~biker jackets,0.532608695652174,0.33793103448275863,0.4135021097046414,145,0.4775828460038988,bayes
clothing~jackets~military jackets,0.42857142857142855,0.08035714285714286,0.13533834586466167,112,0.22959183673469388,bayes
clothing~jackets~oversized jackets,0.35384615384615387,0.08745247148288973,0.14024390243902438,263,0.21988527724665394,bayes
clothing~jackets~padded & down jackets,0.6471215351812367,0.8292349726775956,0.7269461077844313,732,0.6768510258697592,bayes
clothing~jackets~puffer jackets,0.5520282186948854,0.8730822873082287,0.6763911399243652,717,0.5958499904816296,bayes
clothing~jackets~shirt jackets,0.4965229485396384,0.6432432432432432,0.5604395604395604,555,0.5202564849897989,bayes
clothing~jackets~sport jackets & windbreakers,0.4146341463414634,0.34593023255813954,0.37717908082408874,344,0.3987935656836461,bayes
clothing~jackets~suit & dinner jackets,0.0,0.0,0.0,37,,bayes
clothing~jackets~tweed jackets,0.5663716814159292,0.5925925925925926,0.579185520361991,108,0.5714285714285715,bayes
clothing~jackets~waistcoat & gilets,0.7378048780487805,0.4653846153846154,0.570754716981132,260,0.6604803493449782,bayes
clothing~coats~padded coats,0.65625,0.24561403508771928,0.3574468085106383,171,0.4918032786885246,bayes
clothing~jackets~n/d,0.0,0.0,0.0,35,,bayes
clothing~dresses~n/d,0.0,0.0,0.0,58,,bayes
clothing~jackets~hooded jackets,0.438957475994513,0.7322654462242563,0.548885077186964,437,0.4771846107963018,bayes
clothing~dresses~day dresses,0.7841298467087466,0.6690260040006155,0.7220192627034207,6499,0.7580459569720004,bayes
clothing~coats~parkas,0.6458333333333334,0.4189189189189189,0.5081967213114754,148,0.5827067669172934,bayes
clothing~dresses~evening dresses,0.556407447973713,0.5900116144018583,0.5727170236753101,861,0.5628185242632395,bayes
clothing~coats~single breasted coats,0.6172185430463576,0.6955223880597015,0.6540350877192982,1340,0.6314363143631436,bayes
clothing~coats~trench & raincoats,0.5955056179775281,0.6527093596059114,0.6227967097532315,406,0.6061299176578225,bayes
clothing~coats~trench coats,0.4230769230769231,0.11458333333333333,0.180327868852459,96,0.27499999999999997,bayes
clothing~denim~bootcut jeans,0.868421052631579,0.358695652173913,0.5076923076923077,92,0.6762295081967213,bayes
clothing~denim~boyfriend jeans,0.8,0.19047619047619047,0.3076923076923077,63,0.4878048780487805,bayes
clothing~denim~cropped jeans,0.5070993914807302,0.589622641509434,0.5452562704471102,424,0.5217028380634391,bayes
clothing~denim~denim shorts,0.30392156862745096,0.45925925925925926,0.3657817109144542,135,0.3259726603575184,bayes
clothing~denim~denim skirts,0.125,0.018867924528301886,0.03278688524590164,53,0.058823529411764705,bayes
clothing~denim~flared jeans,0.7151162790697675,0.634020618556701,0.6721311475409837,194,0.697278911564626,bayes
clothing~coats~raincoats,0.7,0.11475409836065574,0.1971830985915493,61,0.3465346534653465,bayes
clothing~denim~regular & straight-leg jeans,0.6929316338354577,0.7941567065073041,0.7400990099009901,753,0.7110582639714625,bayes
clothing~denim~loose-fit jeans,0.0,0.0,0.0,36,,bayes
clothing~dresses~cocktail & party dresses,0.466977466977467,0.6176772867420349,0.531858407079646,1946,0.4909328541088058,bayes
clothing~dresses~beach dresses,0.03225806451612903,0.023809523809523808,0.0273972602739726,42,0.03012048192771084,bayes
clothing~denim~wide-leg jeans,0.657243816254417,0.6763636363636364,0.6666666666666666,275,0.6609808102345416,bayes
clothing~jackets~waistcoats & gilets,0.8276643990929705,0.8548009367681498,0.8410138248847926,427,0.8329529895025103,bayes
clothing~denim~straight-leg jeans,0.5936254980079682,0.7233009708737864,0.6520787746170679,618,0.615702479338843,bayes
clothing~denim~slim-fit jeans,0.713841368584759,0.8375912408759124,0.770780856423174,548,0.7355769230769231,bayes
clothing~denim~skinny jeans,0.7420986093552465,0.8482658959537572,0.7916385704652731,692,0.7611514522821576,bayes
clothing~denim~tapered jeans,0.3577981651376147,0.2867647058823529,0.3183673469387755,136,0.3409090909090909,bayes
clothing~t-shirts & vests~t-shirts,0.9676778381242549,0.9755608974358975,0.9716033783334441,7488,0.9692442415879419,bert
